title,tag,image_url,sale,gift,best,new,product_url,price,price_sale
시카페어 엔자임 클렌징 폼,#시카멀티클폼,https://image.drjart.com/img/001/1589760774265.png,,,,NEW,https://www.drjart.com/ko/prd/view/1085?activeTopGnb=all,"24,000",0
2세대 시카페어 토너,#100점만점토너,https://image.drjart.com/img/001/1566294860604.png,,,,NEW,https://www.drjart.com/ko/prd/view/1004?activeTopGnb=all,"33,000",0
2세대 시카페어 세럼,#시카리페어세럼 ,https://image.drjart.com/img/001/1589852789984.png,SALE,GIFT,,NEW,https://www.drjart.com/ko/prd/view/798?activeTopGnb=all,"39,000"," 37,050"
2세대 시카페어 크림,#시카페어크림,https://image.drjart.com/img/001/1589760654735.png,,,,NEW,https://www.drjart.com/ko/prd/view/707?activeTopGnb=all,"48,000",0
2세대 시카페어 리커버,#그린커버크림,https://image.drjart.com/img/001/1567175555779.png,,,,NEW,https://www.drjart.com/ko/prd/view/708?activeTopGnb=all,"43,000",0
시카페어 컬러코렉팅 트리트먼트,#시카선쉴드크림,https://image.drjart.com/img/001/1587641435654.png,,,,,https://www.drjart.com/ko/prd/view/21235?activeTopGnb=all,"60,000",0
데이 앤 나이트 케어세트,#밤낮을가리지않는진정,https://image.drjart.com/img/001/1579482076708.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/21203?activeTopGnb=all,"57,000"," 48,450"
시카페어 진정 보습 홈케어 세트,#홈케어추천세트,https://image.drjart.com/img/001/1590393347113.png,SALE,,,,https://www.drjart.com/ko/prd/view/1108?activeTopGnb=all,"107,000"," 90,950"
시카페어 집중케어 3종 세트,#한정수량추천세트,https://image.drjart.com/img/001/1590393639665.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/1079?activeTopGnb=all,"86,000"," 73,100"
시카페어 슬리페어 앰플 인 마스크,#꿀잠마스크,https://image.drjart.com/img/001/1592182802208.png,,,,,https://www.drjart.com/ko/prd/view/1065?activeTopGnb=all,"39,000",0
시카페어 세럼 인 쿠션 파운데이션 무직타이거 에디션,#리미티드시카세럼쿠션,https://image.drjart.com/img/001/1584951831481.png,,,,,https://www.drjart.com/ko/prd/view/1029?activeTopGnb=all,"37,000",0
시카페어 카밍 선 프로텍터,#진정커버선케어,https://image.drjart.com/img/001/1569481636408.png,SALE,,,,https://www.drjart.com/ko/prd/view/1007?activeTopGnb=all,"29,000"," 24,650"
시카페어 카밍 젤 크림,#수분진정젤,https://image.drjart.com/img/001/1582886110492.png,SALE,GIFT,,,https://www.drjart.com/ko/prd/view/948?activeTopGnb=all,"35,000"," 33,250"
시카페어 카밍 마스크,#긴급진정마스크,https://image.drjart.com/img/001/1575532353219.png,,,,,https://www.drjart.com/ko/prd/view/926?activeTopGnb=all,"20,000",0
시카페어 페이셜 카밍 미스트,#SOS진정미스트,https://image.drjart.com/img/001/1566294899045.png,,,,,https://www.drjart.com/ko/prd/view/889?activeTopGnb=all,"18,000",0
